hxb_no,serial PRIMARY KEY,fk_name,parent_table,comment
hxb_name,TEXT,fk_identifier,,"hexaboard serial number"
kind,TEXT,,,
geometry,TEXT,,,
resolution,TEXT,,,
flatness_init,REAL,,,
avg_thickness_init,REAL,,,
max_thickness_init,REAL,,,
tolerance_grade,TEXT,,,
count_dead_chan_init,SMALLINT,,,
list_dead_cell_init,SMALLINT[],,,
list_noisy_cell_init,SMALLINT[],,,
roc_version,TEXT,,,
roc_name,TEXT[],,,
roc_index,TEXT[],,,
hxb_inspected,DATE,,,
hxb_tested,DATE,,,
module_no,INT,fk_mod_hxb,module_info,
comment,TEXT,,,
xml_gen_datetime,TIMESTAMP,,,
xml_upload_success,BOOLEAN,,,
date_verify_received,DATE,,,"will be filled if the hexaboard is not verified and is being tested/inspected/assembled"
